date,sse_amount,szse_amount,total_amount,unit,source,updated_at
20260126,14528.06,17979.73,32507.79,亿元,AKShare,2026-06-12 13:53:08
20260127,12899.93,16063.28,28963.21,亿元,AKShare,2026-06-12 13:53:10
20260128,13663.9,16008.16,29672.06,亿元,AKShare,2026-06-12 13:53:11
20260129,14862.5,17448.77,32311.27,亿元,AKShare,2026-06-12 13:53:12
20260130,12709.81,15662.52,28372.33,亿元,AKShare,2026-06-12 13:53:13
20260202,11641.14,14215.78,25856.92,亿元,AKShare,2026-06-12 13:53:15
20260203,11122.32,14342.72,25465.04,亿元,AKShare,2026-06-12 13:53:16
20260204,10642.18,14182.52,24824.7,亿元,AKShare,2026-06-12 13:53:18
20260205,9475.43,12304.03,21779.46,亿元,AKShare,2026-06-12 13:53:19
20260206,8993.13,12480.52,21473.65,亿元,AKShare,2026-06-12 13:53:20
20260209,9507.47,13022.33,22529.8,亿元,AKShare,2026-06-12 13:53:22
20260210,8834.29,12240.38,21074.67,亿元,AKShare,2026-06-12 13:53:23
20260211,8234.53,11623.84,19858.37,亿元,AKShare,2026-06-12 13:53:25
20260212,8986.38,12445.7,21432.08,亿元,AKShare,2026-06-12 13:53:27
20260213,8471.98,11362.1,19834.08,亿元,AKShare,2026-06-12 13:53:28
20260224,9391.13,12640.94,22032.07,亿元,AKShare,2026-06-12 13:53:29
20260225,10865.32,13774.83,24640.15,亿元,AKShare,2026-06-12 13:53:31
20260226,10680.87,14718.51,25399.38,亿元,AKShare,2026-06-12 13:53:32
20260227,10738.08,14165.98,24904.06,亿元,AKShare,2026-06-12 13:53:34
20260302,13461.78,16761.18,30222.96,亿元,AKShare,2026-06-12 13:53:35
20260303,14260.85,17057.93,31318.78,亿元,AKShare,2026-06-12 13:53:37
20260304,11141.01,12531.08,23672.09,亿元,AKShare,2026-06-12 13:53:38
20260305,10687.44,13225.56,23913.0,亿元,AKShare,2026-06-12 13:53:39
20260306,9793.86,12219.21,22013.07,亿元,AKShare,2026-06-12 13:53:40
20260309,11944.21,14538.91,26483.12,亿元,AKShare,2026-06-12 13:53:42
20260310,10372.21,13619.46,23991.67,亿元,AKShare,2026-06-12 13:53:43
20260311,10644.91,14455.25,25100.16,亿元,AKShare,2026-06-12 13:53:45
20260312,10791.09,13642.4,24433.49,亿元,AKShare,2026-06-12 13:53:46
20260313,10648.29,13368.33,24016.62,亿元,AKShare,2026-06-12 13:53:47
20260316,10386.41,12890.22,23276.63,亿元,AKShare,2026-06-12 13:53:49
20260317,9522.18,12572.22,22094.4,亿元,AKShare,2026-06-12 13:53:50
20260318,8769.54,11704.2,20473.74,亿元,AKShare,2026-06-12 13:53:52
20260319,9357.73,11764.87,21122.6,亿元,AKShare,2026-06-12 13:53:54
20260320,9667.1,13223.16,22890.26,亿元,AKShare,2026-06-12 13:53:56
20260323,10866.74,13455.14,24321.88,亿元,AKShare,2026-06-12 13:53:57
20260324,9320.56,11519.96,20840.52,亿元,AKShare,2026-06-12 13:53:58
20260325,9686.84,12129.32,21816.16,亿元,AKShare,2026-06-12 13:54:02
20260326,8488.95,10954.98,19443.93,亿元,AKShare,2026-06-12 13:54:11
20260327,8007.99,10541.64,18549.63,亿元,AKShare,2026-06-12 13:54:13
20260330,8409.45,10762.98,19172.43,亿元,AKShare,2026-06-12 13:54:15
20260331,8922.57,11016.15,19938.72,亿元,AKShare,2026-06-12 13:54:17
20260401,8979.43,11158.52,20137.95,亿元,AKShare,2026-06-12 13:54:23
20260402,8120.88,10313.32,18434.2,亿元,AKShare,2026-06-12 13:54:24
20260403,7141.9,9428.63,16570.53,亿元,AKShare,2026-06-12 13:54:25
20260407,7250.27,8909.13,16159.4,亿元,AKShare,2026-06-12 13:54:27
